"x"	"y"	"bio.1"	"bio.2"	"bio.4"	"bio.12"	"bio.15"
-46.25	13.75	NA	NA	NA	NA	NA
-45.75	13.75	NA	NA	NA	NA	NA
-45.25	13.75	NA	NA	NA	NA	NA
-44.75	13.75	NA	NA	NA	NA	NA
-44.25	13.75	NA	NA	NA	NA	NA
-43.75	13.75	NA	NA	NA	NA	NA
-43.25	13.75	NA	NA	NA	NA	NA
-42.75	13.75	NA	NA	NA	NA	NA
-42.25	13.75	NA	NA	NA	NA	NA
-41.75	13.75	NA	NA	NA	NA	NA
-41.25	13.75	NA	NA	NA	NA	NA
-40.75	13.75	NA	NA	NA	NA	NA
-40.25	13.75	NA	NA	NA	NA	NA
-39.75	13.75	NA	NA	NA	NA	NA
-39.25	13.75	NA	NA	NA	NA	NA
-38.75	13.75	NA	NA	NA	NA	NA
-38.25	13.75	NA	NA	NA	NA	NA
-37.75	13.75	NA	NA	NA	NA	NA
-37.25	13.75	NA	NA	NA	NA	NA
-36.75	13.75	NA	NA	NA	NA	NA
-36.25	13.75	NA	NA	NA	NA	NA
-35.75	13.75	NA	NA	NA	NA	NA
-35.25	13.75	NA	NA	NA	NA	NA
-34.75	13.75	NA	NA	NA	NA	NA
-34.25	13.75	NA	NA	NA	NA	NA
-33.75	13.75	NA	NA	NA	NA	NA
-33.25	13.75	NA	NA	NA	NA	NA
-32.75	13.75	NA	NA	NA	NA	NA
-32.25	13.75	NA	NA	NA	NA	NA
-31.75	13.75	NA	NA	NA	NA	NA
-31.25	13.75	NA	NA	NA	NA	NA
-30.75	13.75	NA	NA	NA	NA	NA
-30.25	13.75	NA	NA	NA	NA	NA
-89.75	13.25	NA	NA	NA	NA	NA
-89.25	13.25	NA	NA	NA	NA	NA
-88.75	13.25	NA	NA	NA	NA	NA
-88.25	13.25	24.79892457	5.768376465	117.6171445	628.1574733	97.7348573
-87.75	13.25	NA	NA	NA	NA	NA
-87.25	13.25	24.53941423	6.879434026	117.4344388	588.5073948	86.76811911
-86.75	13.25	24.49792024	7.620915083	117.8787586	628.3514905	80.49911998
-86.25	13.25	24.45949607	7.992789657	115.6568225	688.8872511	75.97949503
-85.75	13.25	24.40257686	7.581148925	108.6008262	764.9486506	73.30851042
-85.25	13.25	24.42900836	6.616357944	100.666209	846.3928074	72.0030193
-84.75	13.25	24.68824196	5.363104224	92.71396508	896.7609674	72.24484656
-84.25	13.25	25.17216881	3.877475905	88.05942635	897.2496972	73.47082694
-83.75	13.25	25.61237488	2.536104763	87.82350841	867.4416558	75.56810368
-83.25	13.25	NA	NA	NA	NA	NA
-82.75	13.25	NA	NA	NA	NA	NA
-82.25	13.25	NA	NA	NA	NA	NA
-81.75	13.25	NA	NA	NA	NA	NA
-81.25	13.25	NA	NA	NA	NA	NA
-80.75	13.25	NA	NA	NA	NA	NA
-80.25	13.25	NA	NA	NA	NA	NA
-79.75	13.25	NA	NA	NA	NA	NA
-79.25	13.25	NA	NA	NA	NA	NA
-78.75	13.25	NA	NA	NA	NA	NA
-78.25	13.25	NA	NA	NA	NA	NA
-77.75	13.25	NA	NA	NA	NA	NA
-77.25	13.25	NA	NA	NA	NA	NA
-76.75	13.25	NA	NA	NA	NA	NA
-76.25	13.25	NA	NA	NA	NA	NA
-75.75	13.25	NA	NA	NA	NA	NA
-75.25	13.25	NA	NA	NA	NA	NA
-74.75	13.25	NA	NA	NA	NA	NA
-74.25	13.25	NA	NA	NA	NA	NA
-73.75	13.25	NA	NA	NA	NA	NA
-73.25	13.25	NA	NA	NA	NA	NA
-72.75	13.25	NA	NA	NA	NA	NA
-72.25	13.25	NA	NA	NA	NA	NA
-71.75	13.25	NA	NA	NA	NA	NA
-71.25	13.25	NA	NA	NA	NA	NA
-70.75	13.25	NA	NA	NA	NA	NA
-70.25	13.25	NA	NA	NA	NA	NA
-69.75	13.25	NA	NA	NA	NA	NA
-69.25	13.25	NA	NA	NA	NA	NA
-68.75	13.25	NA	NA	NA	NA	NA
-68.25	13.25	NA	NA	NA	NA	NA
-67.75	13.25	NA	NA	NA	NA	NA
-67.25	13.25	NA	NA	NA	NA	NA
-66.75	13.25	NA	NA	NA	NA	NA
-66.25	13.25	NA	NA	NA	NA	NA
-65.75	13.25	NA	NA	NA	NA	NA
-65.25	13.25	NA	NA	NA	NA	NA
-64.75	13.25	NA	NA	NA	NA	NA
-64.25	13.25	NA	NA	NA	NA	NA
-63.75	13.25	NA	NA	NA	NA	NA
-63.25	13.25	NA	NA	NA	NA	NA
-62.75	13.25	NA	NA	NA	NA	NA
-62.25	13.25	NA	NA	NA	NA	NA
-61.75	13.25	NA	NA	NA	NA	NA
-61.25	13.25	25.53919619	0.535009626	112.8388644	563.914552	86.41714731
-60.75	13.25	NA	NA	NA	NA	NA
-60.25	13.25	NA	NA	NA	NA	NA
-59.75	13.25	NA	NA	NA	NA	NA
-59.25	13.25	NA	NA	NA	NA	NA
-58.75	13.25	NA	NA	NA	NA	NA
-58.25	13.25	NA	NA	NA	NA	NA
-57.75	13.25	NA	NA	NA	NA	NA
-57.25	13.25	NA	NA	NA	NA	NA
-56.75	13.25	NA	NA	NA	NA	NA
-56.25	13.25	NA	NA	NA	NA	NA
-55.75	13.25	NA	NA	NA	NA	NA
-55.25	13.25	NA	NA	NA	NA	NA
-54.75	13.25	NA	NA	NA	NA	NA
