Sciname,Species3,Family3,Order3,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Roraimia_adusta,Roraimia adusta,Furnariidae,Passeriformes,5,0,4,1,1,14.1,9.3,3,3.5,20.9,63.3,9.1,53.8,14.4,63,16.24,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,2.66,6.48,5.12,-62.89910897,71553.86,Extant
Schizoeaca_coryi,Schizoeaca coryi,Furnariidae,Passeriformes,7,2,5,0,4,15.2,9,2.8,3.4,21.9,56.6,6.7,49.9,11.9,84,16.8,Dunning,NA,NO,NA,NA,Grassland,2,1,Carnivore,Invertivore,Insessorial,7.63,9.52,8.5500000000000007,-71.271351550000006,9010.23,Extant
Schizoeaca_fuliginosa,Schizoeaca fuliginosa,Furnariidae,Passeriformes,13,2,6,5,4,13.9,9,2.9,3.4,23.8,58,7.3,50.8,12.6,106.2,18.3,Dunning,NA,NO,NA,NA,Grassland,2,1,Carnivore,Invertivore,Insessorial,-10.02,7.71,-0.03,-75.971442460000006,96182.51,Extant
Schizoeaca_griseomurina,Schizoeaca griseomurina,Furnariidae,Passeriformes,7,2,5,0,3,14.4,9.1,3.1,3.4,24.6,59.1,6.1,53.1,10.2,107.3,17.6,Dunning,NA,NO,NA,NA,Grassland,2,1,Carnivore,Invertivore,Insessorial,-6.3,-2.74,-4.0999999999999996,-79.256537899999998,18912.900000000001,Extant
Schizoeaca_harterti,Schizoeaca harterti,Furnariidae,Passeriformes,11,2,8,1,1,15.2,9.3,2.8,3.2,22.5,52,6.6,45.4,12.8,100.8,12.94,Dunning,NA,NO,NA,NA,Grassland,2,1,Carnivore,Invertivore,Insessorial,-17.89,-14.55,-16.41,-67.059438959999994,23849.1,Extant
Schizoeaca_helleri,Schizoeaca helleri,Furnariidae,Passeriformes,13,1,3,9,7,15.3,8.8,2.5,3.2,23,52.6,6.5,46.2,12.3,97,15.3,Dunning,NA,NO,NA,NA,Grassland,2,1,Carnivore,Invertivore,Insessorial,-15.22,-11.84,-13.38,-71.49115501,43369.93,Extant
Schizoeaca_palpebralis,Schizoeaca palpebralis,Furnariidae,Passeriformes,6,1,5,0,2,16.1,9.5,2.9,3.3,24.1,57.9,6.6,51.4,11.4,114,16.97,Dunning,NA,NO,NA,NA,Grassland,3,1,Carnivore,Invertivore,Insessorial,-12.05,-11.07,-11.54,-75.131260530000006,11496.43,Extant
Schizoeaca_perijana,Schizoeaca perijana,Furnariidae,Passeriformes,6,3,3,0,4,15.6,9.5,3,4,22.6,59.4,7.2,52.6,11.9,110,18.33,Dunning,NA,NO,NA,NA,Grassland,2,1,Carnivore,Invertivore,Insessorial,10.16,10.47,10.3,-72.903213600000001,111.26,Extant
Schizoeaca_vilcabambae,Schizoeaca vilcabambae,Furnariidae,Passeriformes,8,4,4,0,4,13.9,9.3,3,3.4,25.2,59.7,7.4,52.3,12.4,98.5,20.2,Dunning,NA,NO,NA,NA,Grassland,2,1,Carnivore,Invertivore,Insessorial,-13.82,-11.52,-12.47,-73.69278722,23285.26,Extant
Schoeniophylax_phryganophilus,Schoeniophylax phryganophilus,Furnariidae,Passeriformes,9,3,6,0,4,13.5,8.4,3.1,3.9,21.7,61.4,9.4,52.7,15.1,109.3,18.6,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Insessorial,-35.590000000000003,-4.51,-23.86,-57.37211396,2565832.9300000002,Extant
