"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","unique_id","Best_match_overall_score","Best_match_highertaxa"
"15","Dryopteris sp.","0.9","1400872","Dryopteris","1","genus","","","","Adans.","Polypodiaceae","Dryopteris","Dryopteris","1","","","","","","","","","","","","","","sp.","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:326002-2","","Y","Accepted","Dryopteris","","Adans.","1400872","genus","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:326002-2","","Polypodiaceae",1,"1","wcvp","","15",true,true
"16","Vitis labrusca L.","1","415532","Vitis labrusca","1","species","L.","L.","1","L.","Vitaceae","Vitis","Vitis","1","labrusca","labrusca","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:307691-2","","Y","Accepted","Vitis labrusca","Vitis labrusca","L.","415532","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:307691-2","","Vitaceae",1,"1","wcvp","","16",true,true
"17","Dennstaedtia punctilobula (Michx.) T. Moore","1","1092749","Dennstaedtia punctilobula","1","species","(Michx.) T. Moore","(Michx.) T.Moore","1","(Michx.) T.Moore","Dennstaedtiaceae","Dennstaedtia","Dennstaedtia","1","punctilobula","punctilobula","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30045598-2","","Y","Synonym","Sitobolium punctilobulum","Sitobolium punctilobulum","(Michx.) Desv.","1661385","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17222380-1","","Dennstaedtiaceae",1,"1","wcvp","","17",true,true
"18","Symphyotrichum lanceolatum (Willd.) G.L. Nesom","1","13052","Symphyotrichum lanceolatum","1","species","(Willd.) G.L. Nesom","(Willd.) G.L.Nesom","1","(Willd.) G.L.Nesom","Asteraceae","Symphyotrichum","Symphyotrichum","1","lanceolatum","lanceolatum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:981841-1","","Y","Accepted","Symphyotrichum lanceolatum","Symphyotrichum lanceolatum","(Willd.) G.L.Nesom","13052","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:981841-1","","Asteraceae",1,"1","wcvp","","18",true,true
"19","Celastrus orbiculatus Thunb.","1","585945","Celastrus orbiculatus","1","species","Thunb.","Thunb.","1","Thunb.","Celastraceae","Celastrus","Celastrus","1","orbiculatus","orbiculatus","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:927512-1","","Y","Accepted","Celastrus orbiculatus","Celastrus orbiculatus","Thunb.","585945","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:927512-1","","Celastraceae",1,"1","wcvp","","19",true,true
"20","Oxalis stricta L.","1","381526","Oxalis stricta","1","species","L.","L.","1","L.","Oxalidaceae","Oxalis","Oxalis","1","stricta","stricta","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:178499-2","","Y","Accepted","Oxalis stricta","Oxalis stricta","L.","381526","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:178499-2","","Oxalidaceae",1,"1","wcvp","","20",true,true
"21","Glyceria striata (Lam.) Hitchc.","1","865076","Glyceria striata","1","species","(Lam.) Hitchc.","(Lam.) Hitchc.","1","(Lam.) Hitchc.","Poaceae","Glyceria","Glyceria","1","striata","striata","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:111020-2","","Y","Accepted","Glyceria striata","Glyceria striata","(Lam.) Hitchc.","865076","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:111020-2","","Poaceae",1,"1","wcvp","","21",true,true
"22","Acer saccharum Marshall","1","508618","Acer saccharum","1","species","Marshall","Marshall","1","Marshall","Sapindaceae","Acer","Acer","1","saccharum","saccharum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:56795-1","","Y","Accepted","Acer saccharum","Acer saccharum","Marshall","508618","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:56795-1","","Sapindaceae",1,"1","wcvp","","22",true,true
"23","Epipactis helleborine (L.) Crantz","1","943448","Epipactis helleborine","1","species","(L.) Crantz","(L.) Crantz","1","(L.) Crantz","Orchidaceae","Epipactis","Epipactis","1","helleborine","helleborine","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:633228-1","","Y","Accepted","Epipactis helleborine","Epipactis helleborine","(L.) Crantz","943448","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:633228-1","","Orchidaceae",1,"1","wcvp","","23",true,true
"24","Rubus hispidus L.","1","997475","Rubus hispidus","1","species","L.","L.","1","L.","Rosaceae","Rubus","Rubus","1","hispidus","hispidus","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:737387-1","","Y","Accepted","Rubus hispidus","Rubus hispidus","L.","997475","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:737387-1","","Rosaceae",1,"1","wcvp","","24",true,true
