"x"	"y"	"id"	"bio.1"	"bio.2"	"bio.3"	"bio.4"	"bio.5"	"bio.6"	"bio.7"	"bio.8"	"bio.9"	"bio.10"	"bio.11"	"bio.12"	"bio.13"	"bio.14"	"bio.15"	"bio.16"	"bio.17"	"bio.18"	"bio.19"
-34.25	14.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-33.75	14.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-33.25	14.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-32.75	14.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-32.25	14.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-31.75	14.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-31.25	14.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-30.75	14.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-30.25	14.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-89.75	14.25	8749	23.13094639	6.56137597	59.19394252	172.1960353	28.95092174	17.86638219	11.08453955	23.16578997	20.74534128	24.83416525	20.74534128	986.446421	217.726219	16.33729207	83.03038123	480.9846615	79.14834343	314.3157278	79.14834343
-89.25	14.25	8844	22.85709702	6.903103342	59.03170942	176.4331556	29.16378566	17.46989536	11.6938903	22.87596366	20.43526694	24.59653168	20.43526694	916.8939724	194.3862007	18.35853936	78.61804699	447.6602975	94.83339843	274.4661793	94.83339843
-88.75	14.25	8939	22.48557453	7.453442162	59.4571543	180.2879781	29.41920038	16.88337984	12.53582054	22.50565949	23.17977777	24.23377484	20.023086	842.944038	171.3741062	20.39461017	75.15379804	415.7254482	86.18618151	232.7490021	108.2834062
-88.25	14.25	9036	22.2542236	7.351157891	59.51354528	170.2995873	29.18595138	16.83387614	12.35207524	22.37249916	22.86380446	23.86760888	19.91298191	826.1779618	157.5235218	20.36344111	69.97683582	398.0768285	80.59567125	220.3783513	127.1271108
-87.75	14.25	9127	21.78268328	7.215022335	59.17203276	161.8015699	28.75946624	16.56616816	12.19329808	22.02527666	22.30487527	23.26274727	19.53783391	803.7780004	148.9696252	19.33169119	66.82114997	382.1472625	73.1111953	206.8218404	141.6977022
-87.25	14.25	9219	21.67472894	7.076590438	58.7890275	152.7306491	28.72145918	16.68419519	12.03726399	22.01284537	22.09418676	23.04198768	19.54989596	810.9389031	144.1195983	19.2417918	64.07930588	375.9387878	71.64517854	211.5565541	151.7983827
-86.75	14.25	9306	21.86119197	6.905938246	57.98722315	143.3975919	29.04361675	17.13420314	11.90941361	22.25816421	22.17566201	23.13756872	19.87337293	847.8852829	142.8527066	19.67927252	61.98338956	381.6688354	72.07592223	230.5401825	163.6003428
-86.25	14.25	9392	21.97859027	6.770102144	58.05099876	136.1863579	29.09843555	17.43610021	11.66233534	22.44754035	22.16912796	23.19943775	20.09825501	891.5616525	148.1120297	20.28017641	61.40390759	394.9831156	72.46457368	249.918937	174.1950262
-85.75	14.25	9486	22.66839806	6.400391321	60.54400708	124.8812591	28.88777477	18.31630514	10.57146963	23.23002208	22.68328205	23.81012315	20.95016496	946.9671771	157.6125193	20.44883648	61.6550598	416.6755906	72.7675858	271.1082066	186.4157942
-85.25	14.25	9582	23.28951937	5.941013494	64.36234078	116.3607374	28.34330093	19.11272693	9.230574	23.96311301	23.11276937	24.36412363	21.71807145	1004.383178	167.9252884	20.15637425	62.61181052	443.4072303	71.41297378	289.171904	200.3910695
-84.75	14.25	9682	24.05898362	5.098369093	65.52947674	108.0894922	28.05046324	20.27019496	7.78026828	24.82226876	23.69754337	25.04573635	22.67038599	1028.772912	173.9761501	19.17334174	64.11986279	460.2170275	68.01467765	294.7400806	205.8011259
