Species	Longitude	Latitude
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-86.58333588	14.03333282
Quercus_oleoides	-86.58333588	14.03333282
Quercus_oleoides	-86.58333588	14.03333282
Quercus_oleoides	-86.58333588	14.03333282
Quercus_oleoides	-86.58333588	14.03333282
Quercus_oleoides	-86.58333588	14.03333282
Quercus_oleoides	-86.58333588	14.03333282
Quercus_oleoides	-86.58333588	14.03333282
Quercus_oleoides	-86.58333588	14.03333282
Quercus_oleoides	-86.58333588	14.03333282
Quercus_oleoides	-87.10136292	13.89543672
Quercus_oleoides	-87.10136292	13.89543672
Quercus_oleoides	-87.10136292	13.89543672
Quercus_oleoides	-87.10136292	13.89543672
Quercus_oleoides	-87.10136292	13.89543672
Quercus_oleoides	-87.10136292	13.89543672
Quercus_oleoides	-87.10136292	13.89543672
Quercus_oleoides	-87.10136292	13.89543672
Quercus_oleoides	-87.10136292	13.89543672
Quercus_oleoides	-87.10136292	13.89543672
Quercus_oleoides	-85.59940704	10.8786267
Quercus_oleoides	-85.60012051	10.87847114
Quercus_oleoides	-85.60014197	10.87846577
Quercus_oleoides	-85.59829661	10.87020457
Quercus_oleoides	-85.59802302	10.87014019
Quercus_oleoides	-85.60693868	10.86889029
Quercus_oleoides	-85.57487019	10.8624208
Quercus_oleoides	-85.57505258	10.86225986
Quercus_oleoides	-85.57510086	10.86213112
Quercus_oleoides	-85.60918101	10.85860133
Quercus_oleoides	-85.61813422	10.84598992
Quercus_oleoides	-85.58874258	10.87096632
Quercus_oleoides	-85.61837026	10.93270004
Quercus_oleoides	-85.61813422	10.93265176
Quercus_oleoides	-85.61844536	10.93254447
Quercus_oleoides	-85.61504432	10.91459513
Quercus_oleoides	-85.61507651	10.91438055
Quercus_oleoides	-85.61523207	10.91420889
Quercus_oleoides	-85.60911127	10.88318646
Quercus_oleoides	-85.60922929	10.88296652
Quercus_oleoides	-85.60721763	10.86881518
Quercus_oleoides	-85.60689577	10.86876154
Quercus_oleoides	-85.60465881	10.86281776
Quercus_oleoides	-85.60475537	10.86253345
Quercus_oleoides	-85.60481437	10.86239398
Quercus_oleoides	-85.59136578	10.84636509
Quercus_oleoides	-85.59136578	10.84635973
Quercus_oleoides	-85.57447405	10.92983688
Quercus_oleoides	-85.57447405	10.92983688
Quercus_oleoides	-85.57447405	10.92983688
Quercus_oleoides	-85.57447405	10.92983688
Quercus_oleoides	-85.57447405	10.92983688
Quercus_oleoides	-85.54364718	10.89275472
Quercus_oleoides	-85.63656279	11.01429373
Quercus_oleoides	-85.63656279	11.01429373
Quercus_oleoides	-85.63656279	11.01429373
Quercus_oleoides	-85.63656279	11.01429373
Quercus_oleoides	-85.63656279	11.01429373
