"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","Best_match_overall_score","Best_match_highertaxa","unique_id"
"46","Anemone quinquefolia L. var. quinquefolia","1","1114994","Anemone quinquefolia var. quinquefolia","1","variety","","","","","Ranunculaceae","Anemone","Anemone","1","quinquefolia","quinquefolia","1","","","","var.","quinquefolia","1","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001129672","","Y","Synonym","Anemone quinquefolia","Anemone quinquefolia","L.","529184","species","https://www.worldfloraonline.org/taxon/wfo-0000535705","","Ranunculaceae","1","1","wfo","",true,true,64
"47","Lysimachia quadrifolia L.","1","1090860","Lysimachia quadrifolia","1","species","L.","L.","1","L.","Primulaceae","Lysimachia","Lysimachia","1","quadrifolia","quadrifolia","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001105375","","Y","Accepted","Lysimachia quadrifolia","Lysimachia quadrifolia","L.","1090860","species","https://www.worldfloraonline.org/taxon/wfo-0001105375","","Primulaceae","1","1","wfo","",true,true,65
"48","Carya glabra (Mill.) Sweet","1","581864","Carya glabra","1","species","(Mill.) Sweet","(Mill.) Sweet","1","(Mill.) Sweet","Juglandaceae","Carya","Carya","1","glabra","glabra","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000588753","","Y","Accepted","Carya glabra","Carya glabra","(Mill.) Sweet","581864","species","https://www.worldfloraonline.org/taxon/wfo-0000588753","","Juglandaceae","1","1","wfo","",true,true,66
"49","Betula papyrifera Marshall","1","330115","Betula papyrifera","1","species","Marshall","Marshall","1","Marshall","Betulaceae","Betula","Betula","1","papyrifera","papyrifera","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000335192","","Y","Accepted","Betula papyrifera","Betula papyrifera","Marshall","330115","species","https://www.worldfloraonline.org/taxon/wfo-0000335192","","Betulaceae","1","1","wfo","",true,true,67
"50","Rubus sp.","0.9","1415146","Rubus","1","genus","","","","L.","Rosaceae","Rubus","Rubus","1","","","","","","","","","","","","","","sp.","https://www.worldfloraonline.org/taxon/wfo-4000033581","","Y","Accepted","Rubus","","L.","1415146","genus","https://www.worldfloraonline.org/taxon/wfo-4000033581","","Rosaceae","1","1","wfo","",true,true,68
"51","Chimaphila maculata (L.) Pursh","1","595231","Chimaphila maculata","1","species","(L.) Pursh","(L.) Pursh","1","(L.) Pursh","Ericaceae","Chimaphila","Chimaphila","1","maculata","maculata","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000602194","","Y","Accepted","Chimaphila maculata","Chimaphila maculata","(L.) Pursh","595231","species","https://www.worldfloraonline.org/taxon/wfo-0000602194","","Ericaceae","1","1","wfo","",true,true,69
"52","Lysimachia punctata L.","1","436481","Lysimachia punctata","1","species","L.","L.","1","L.","Primulaceae","Lysimachia","Lysimachia","1","punctata","punctata","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000442390","","Y","Accepted","Lysimachia punctata","Lysimachia punctata","L.","436481","species","https://www.worldfloraonline.org/taxon/wfo-0000442390","","Primulaceae","1","1","wfo","",true,true,70
"53","Dryopteris sp.","0.9","1400872","Dryopteris","1","genus","","","","Adans.","Dryopteridaceae","Dryopteris","Dryopteris","1","","","","","","","","","","","","","","sp.","https://www.worldfloraonline.org/taxon/wfo-4000012657","","Y","Accepted","Dryopteris","","Adans.","1400872","genus","https://www.worldfloraonline.org/taxon/wfo-4000012657","","Dryopteridaceae","1","1","wfo","",true,true,71
"54","Carex spp.","0.9","1396841","Carex","1","genus","","","","L.","Cyperaceae","Carex","Carex","1","","","","","","","","","","","","","","spp.","https://www.worldfloraonline.org/taxon/wfo-4000006709","","Y","Accepted","Carex","","L.","1396841","genus","https://www.worldfloraonline.org/taxon/wfo-4000006709","","Cyperaceae","1","1","wfo","",true,true,73
"55","Lysimachia terrestris (L.) Britton  Sterns & Poggenb.","0.94876","436495","Lysimachia terrestris","1","species","(L.) Britton Sterns & Poggenb.","Britton, Sterns & Poggenb.","0.7438","Britton, Sterns & Poggenb.","Primulaceae","Lysimachia","Lysimachia","1","terrestris","terrestris","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000442404","","Y","Accepted","Lysimachia terrestris","Lysimachia terrestris","Britton, Sterns & Poggenb.","436495","species","https://www.worldfloraonline.org/taxon/wfo-0000442404","","Primulaceae","1","1","wfo","",true,true,74
