	Longitude(x)	Latitude(y)	PD	SR	PSVs	SR	vars	aMRD	aMDR	aAGES
169	-81.5	28.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
170	-80.5	28.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
171	-114.5	27.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
172	-113.5	27.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
173	-112.5	27.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
174	-111.5	27.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
175	-110.5	27.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
176	-109.5	27.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
177	-108.5	27.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
178	-107.5	27.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
179	-106.5	27.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
180	-105.5	27.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
181	-104.5	27.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
182	-99.5	27.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
183	-98.5	27.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
184	-97.5	27.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
185	-82.5	27.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
186	-81.5	27.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
187	-80.5	27.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
188	-113.5	26.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
189	-112.5	26.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
190	-111.5	26.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
191	-109.5	26.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
192	-108.5	26.5	0.378990844	3	0.796507205	3	0.004459021	17.66666667	14.27361786	0.056282458
193	-107.5	26.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
194	-106.5	26.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
195	-105.5	26.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
196	-104.5	26.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
197	-103.5	26.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
198	-102.5	26.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
199	-98.5	26.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
200	-97.5	26.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
201	-82.5	26.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
202	-81.5	26.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
203	-80.5	26.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
204	-78.5	26.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
205	-77.5	26.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
206	-112.5	25.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
207	-111.5	25.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
208	-110.5	25.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
209	-109.5	25.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
210	-108.5	25.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
211	-107.5	25.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
212	-106.5	25.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
213	-105.5	25.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
214	-104.5	25.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
215	-103.5	25.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
216	-102.5	25.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
217	-101.5	25.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
218	-97.5	25.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
219	-81.5	25.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
220	-80.5	25.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
221	-79.5	25.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
222	-78.5	25.5	0.216780986	2	0.353669476	2	0.012361281	12.5	26.88631356	0.017072966
223	-77.5	25.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
224	-76.5	25.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
225	-111.5	24.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
226	-110.5	24.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
227	-109.5	24.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
228	-108.5	24.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
229	-107.5	24.5	0.268450305	2	0.739337455	2	0.012361281	18.5	14.49822323	0.054892273
230	-106.5	24.5	0.268450305	2	0.739337455	2	0.012361281	18.5	14.49822323	0.054892273
231	-105.5	24.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
232	-104.5	24.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
233	-103.5	24.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
234	-102.5	24.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
235	-101.5	24.5	0.278922987	2	0.817507211	2	0.012361281	19.5	17.25644115	0.050579446
236	-100.5	24.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
237	-99.5	24.5	0.16939862	1	NA	1	NA	17	26.5712792	0.008471488
238	-98.5	24.5	0.16939862	1	NA	1	NA	17	26.5712792	0.008471488
239	-97.5	24.5	0.16939862	1	NA	1	NA	17	26.5712792	0.008471488
240	-81.5	24.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
241	-78.5	24.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
242	-77.5	24.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
243	-110.5	23.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
244	-109.5	23.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
245	-106.5	23.5	0.268450305	2	0.739337455	2	0.012361281	18.5	14.49822323	0.054892273
246	-105.5	23.5	0.268450305	2	0.739337455	2	0.012361281	18.5	14.49822323	0.054892273
247	-104.5	23.5	0.268450305	2	0.739337455	2	0.012361281	18.5	14.49822323	0.054892273
248	-103.5	23.5	0.268450305	2	0.739337455	2	0.012361281	18.5	14.49822323	0.054892273
249	-102.5	23.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
250	-101.5	23.5	0.278922987	2	0.817507211	2	0.012361281	19.5	17.25644115	0.050579446
251	-100.5	23.5	0.381715557	3	0.800758144	3	0.004459021	18.66666667	20.36138716	0.03654346
252	-99.5	23.5	0.381715557	3	0.800758144	3	0.004459021	18.66666667	20.36138716	0.03654346
253	-98.5	23.5	0.16939862	1	NA	1	NA	17	26.5712792	0.008471488
254	-97.5	23.5	0.16939862	1	NA	1	NA	17	26.5712792	0.008471488
255	-82.5	23.5	1.295088119	14	0.864118049	14	0.00026572	11.57142857	25.79218883	0.026877021
256	-81.5	23.5	0.593668805	5	0.883750373	5	0.00153918	11.6	26.15871942	0.031720949
257	-80.5	23.5	0.296197733	2	0.946448647	2	0.012361281	13.5	30.5079328	0.015893475
258	-75.5	23.5	0.16939862	1	NA	1	NA	12	18.59610088	0.034264772
259	-74.5	23.5	0.16939862	1	NA	1	NA	12	18.59610088	0.034264772
260	-109.5	22.5	0.16939862	1	NA	1	NA	19	14.97686861	0.05532547
261	-106.5	22.5	0.268450305	2	0.739337455	2	0.012361281	18.5	14.49822323	0.054892273
262	-105.5	22.5	0.268450305	2	0.739337455	2	0.012361281	18.5	14.49822323	0.054892273
263	-104.5	22.5	0.268450305	2	0.739337455	2	0.012361281	18.5	14.49822323	0.054892273
264	-103.5	22.5	0.268450305	2	0.739337455	2	0.012361281	18.5	14.49822323	0.054892273
265	-102.5	22.5	0.268450305	2	0.739337455	2	0.012361281	18.5	14.49822323	0.054892273
266	-101.5	22.5	0.268450305	2	0.739337455	2	0.012361281	18.5	14.49822323	0.054892273
267	-100.5	22.5	0.377974672	3	0.791450625	3	0.004459021	18	18.52257522	0.039418678
268	-99.5	22.5	0.381715557	3	0.800758144	3	0.004459021	18.66666667	20.36138716	0.03654346
269	-98.5	22.5	0.381715557	3	0.800758144	3	0.004459021	18.66666667	20.36138716	0.03654346
270	-97.5	22.5	0.16939862	1	NA	1	NA	17	26.5712792	0.008471488
271	-84.5	22.5	0.965432477	10	0.849258883	10	0.000451789	10.7	20.10164925	0.036585993
272	-83.5	22.5	1.507432401	19	0.87704745	19	0.000168812	10.73684211	22.98550215	0.029958126
273	-82.5	22.5	1.462989335	18	0.873398876	18	0.000182619	10.88888889	24.06678444	0.027537726
274	-81.5	22.5	1.600171597	19	0.873242827	19	0.000168812	11.15789474	24.88278754	0.028101376
